model,split,case_count,auto_pass_rate,mean_monotonic_fraction,mean_violation_count,mean_spearman_rho,mean_expected_span,mean_max_unmasked_delta,mean_proxy_l1,refinement_success_rate,mean_param_l2_drift
sparse2_ridge,val,2,1.0,1.0,0.0,1.0,4.327520251274109,0.0019756853419031356,0.00021547010796244388,,
sparse2_ridge,test,4,1.0,1.0,0.0,1.0,5.36042046546936,0.005983606782554735,0.00028929369104194587,,
sparse4_ridge,val,2,1.0,1.0,0.0,1.0,4.327588438987732,0.0019985456691940374,0.0002645479326019995,,
sparse4_ridge,test,4,1.0,1.0,0.0,1.0,5.360276222229004,0.005988413055850525,0.0002805964300672973,,
sparse4_refined_lambda_0_5,val,2,1.0,1.0,0.0,1.0,4.316352486610413,0.0019915613095755186,0.00042731963809014166,1.0,
sparse4_refined_lambda_0_5,test,4,1.0,1.0,0.0,1.0,5.367911696434021,0.005948575642165755,0.0007850724598808612,1.0,
sparse4_refined_lambda_1_0,val,2,1.0,1.0,0.0,1.0,4.349238634109497,0.002125798647341107,0.00040223071326701235,1.0,
sparse4_refined_lambda_1_0,test,4,1.0,1.0,0.0,1.0,5.357674598693848,0.006107009357803195,0.0005751766251965558,1.0,
sparse4_refined_lambda_5_0,val,2,1.0,1.0,0.0,1.0,4.351065278053284,0.002042205429308339,0.0003742819119776998,1.0,
sparse4_refined_lambda_5_0,test,4,1.0,1.0,0.0,1.0,5.35244482755661,0.005980950430787289,0.0006014197580433184,1.0,
sparse4_refined_lambda_10_0,val,2,1.0,1.0,0.0,1.0,4.288151800632477,0.0019709963078715126,0.00034894736641685346,1.0,
sparse4_refined_lambda_10_0,test,4,1.0,1.0,0.0,1.0,5.366543501615524,0.0060208040515234386,0.0006934811265507181,1.0,
