rater_id,case_id,pipeline_id,perturbation,source_preservation_1_5,scalp_localisation_1_5,monotonic_progression_1_5,anatomical_plausibility_1_5,overall_acceptability_1_5,comments
,val_case_1,P1_proxy,nominal_or_selected_stress,,,,,,
,val_case_1,P2_diffusion_archived_exp06,nominal_or_selected_stress,,,,,,
,val_case_1,P4_sparse4_ridge,nominal_or_selected_stress,,,,,,
,val_case_2,P1_proxy,nominal_or_selected_stress,,,,,,
,val_case_2,P2_diffusion_archived_exp06,nominal_or_selected_stress,,,,,,
,val_case_2,P4_sparse4_ridge,nominal_or_selected_stress,,,,,,
,test_case_1,P1_proxy,nominal_or_selected_stress,,,,,,
,test_case_1,P2_diffusion_archived_exp06,nominal_or_selected_stress,,,,,,
,test_case_1,P4_sparse4_ridge,nominal_or_selected_stress,,,,,,
,test_case_2,P1_proxy,nominal_or_selected_stress,,,,,,
,test_case_2,P2_diffusion_archived_exp06,nominal_or_selected_stress,,,,,,
,test_case_2,P4_sparse4_ridge,nominal_or_selected_stress,,,,,,
,test_case_3,P1_proxy,nominal_or_selected_stress,,,,,,
,test_case_3,P2_diffusion_archived_exp06,nominal_or_selected_stress,,,,,,
,test_case_3,P4_sparse4_ridge,nominal_or_selected_stress,,,,,,
,test_case_4,P1_proxy,nominal_or_selected_stress,,,,,,
,test_case_4,P2_diffusion_archived_exp06,nominal_or_selected_stress,,,,,,
,test_case_4,P4_sparse4_ridge,nominal_or_selected_stress,,,,,,
