id,family,level,value,px,dx,dy
nominal,none,nominal,0.0,,,
mask_erode_low,mask_erode,low,,1,,
mask_dilate_low,mask_dilate,low,,1,,
mask_shift_pos_low,mask_shift,low,,1,1.0,1.0
mask_shift_neg_low,mask_shift,low,,1,-1.0,-1.0
target_noise_low,target_noise,low,0.03,,,
brightness_up_low,brightness,low,0.05,,,
brightness_down_low,brightness,low,-0.05,,,
contrast_up_low,contrast,low,0.05,,,
contrast_down_low,contrast,low,-0.05,,,
image_noise_low,image_noise,low,0.01,,,
parameter_noise_low,parameter_noise,low,0.5,,,
mask_erode_high,mask_erode,high,,3,,
mask_dilate_high,mask_dilate,high,,3,,
mask_shift_pos_high,mask_shift,high,,3,1.0,1.0
mask_shift_neg_high,mask_shift,high,,3,-1.0,-1.0
target_noise_high,target_noise,high,0.08,,,
brightness_up_high,brightness,high,0.15,,,
brightness_down_high,brightness,high,-0.15,,,
contrast_up_high,contrast,high,0.15,,,
contrast_down_high,contrast,high,-0.15,,,
image_noise_high,image_noise,high,0.03,,,
parameter_noise_high,parameter_noise,high,1.0,,,
