analysis_slice,description,pipeline_id,condition_count,mean_fragility_balanced,mean_auto_pass_rate,mean_monotonic_fraction,interpretation_note
all_test_conditions,"All nominal, low, and high test conditions",P1_proxy,23,0.045130,0.728261,0.923913,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
all_test_conditions,"All nominal, low, and high test conditions",P3_sparse2_ridge,23,0.017913,0.891304,0.970109,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
all_test_conditions,"All nominal, low, and high test conditions",P4_sparse4_ridge,23,0.017087,0.891304,0.972826,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
exclude_parameter_noise,All test conditions except proxy-parameter noise,P1_proxy,21,0.035286,0.773810,0.943452,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
exclude_parameter_noise,All test conditions except proxy-parameter noise,P3_sparse2_ridge,21,0.009286,0.940476,0.985119,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
exclude_parameter_noise,All test conditions except proxy-parameter noise,P4_sparse4_ridge,21,0.009286,0.940476,0.985119,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
parameter_noise_only,Proxy-parameter noise only,P1_proxy,2,0.148500,0.250000,0.718750,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
parameter_noise_only,Proxy-parameter noise only,P3_sparse2_ridge,2,0.108500,0.375000,0.812500,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
parameter_noise_only,Proxy-parameter noise only,P4_sparse4_ridge,2,0.099000,0.375000,0.843750,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
non_parameter_non_nominal,Perturbations excluding nominal and proxy-parameter noise,P1_proxy,20,0.035100,0.775000,0.943750,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
non_parameter_non_nominal,Perturbations excluding nominal and proxy-parameter noise,P3_sparse2_ridge,20,0.009750,0.937500,0.984375,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
non_parameter_non_nominal,Perturbations excluding nominal and proxy-parameter noise,P4_sparse4_ridge,20,0.009750,0.937500,0.984375,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
nominal_only,Nominal test condition only,P1_proxy,1,0.039000,0.750000,0.937500,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
nominal_only,Nominal test condition only,P3_sparse2_ridge,1,0.000000,1.000000,1.000000,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
nominal_only,Nominal test condition only,P4_sparse4_ridge,1,0.000000,1.000000,1.000000,Protocol sensitivity summary; proxy and controller perturbations are not identical noise-placement interventions.
