pipeline_id,weight_setting,alpha,beta,gamma,mean_fragility
P1_proxy,balanced,0.4,0.4,0.2,0.03188571428571429
P1_proxy,safety_heavy,0.25,0.25,0.5,0.01992857142857143
P1_proxy,qa_heavy,0.3,0.6,0.1,0.035485714285714294
P1_proxy,ordering_heavy,0.6,0.3,0.1,0.036257142857142856
P2_diffusion_exp06_rerun,balanced,0.4,0.4,0.2,0.5718
P2_diffusion_exp06_rerun,safety_heavy,0.25,0.25,0.5,0.6680892857142857
P2_diffusion_exp06_rerun,qa_heavy,0.3,0.6,0.1,0.5421357142857143
P2_diffusion_exp06_rerun,ordering_heavy,0.6,0.3,0.1,0.5372714285714285
P3_sparse2_ridge,balanced,0.4,0.4,0.2,0.011771428571428573
P3_sparse2_ridge,safety_heavy,0.25,0.25,0.5,0.007357142857142857
P3_sparse2_ridge,qa_heavy,0.3,0.6,0.1,0.013114285714285715
P3_sparse2_ridge,ordering_heavy,0.6,0.3,0.1,0.01337142857142857
P4_sparse4_ridge,balanced,0.4,0.4,0.2,0.01568571428571429
P4_sparse4_ridge,safety_heavy,0.25,0.25,0.5,0.009803571428571429
P4_sparse4_ridge,qa_heavy,0.3,0.6,0.1,0.017764285714285715
P4_sparse4_ridge,ordering_heavy,0.6,0.3,0.1,0.017528571428571428
